SampleID	CONTIG COUNT 	TOTAL LENGTH 	MIN 	MAX 	MEDIAN 	MEAN 	L50 	N50 	L90 	N90 	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Fold_cov
Absidia_cylindrospora_NRRL_13891	1931	38978967	500	269590	2621	20185.90	190	69291	596	17990	96.9	62.1	62.1	62.1	2.1	1.0	290	33.40
Absidia_cylindrospora_NRRL_3069	2231	39939824	500	332512	3367	17902.21	223	54218	762	13843	97.2	65.5	65.5	65.5	1.4	1.4	290	40.38
Absidia_cylindrospora_var._cylindrospora_NRRL_2796	2513	41915259	500	215351	6368	16679.37	291	43112	1039	10607	97.2	57.9	57.9	57.9	1.7	1.1	290	37.49
Absidia_cylindrospora_var._nigra_NRRL_3031	1505	40014768	500	426361	7648	26587.89	168	75311	554	18959	96.9	57.6	57.6	57.6	1.7	1.4	290	36.80
Absidia_dubia_NRRL_1322	2893	40140808	500	112883	9675	13875.15	473	26941	1423	9949	97.9	65.5	65.5	65.5	0.7	1.4	290	59.00
Absidia_glauca_NRRL_1327	2901	40121400	500	157125	9736	13830.20	479	26667	1447	9764	97.9	64.8	64.8	64.8	0.7	1.4	290	27.57
Absidia_hyalospora_NRRL_1330	1168	34109233	1002	169847	20754	29203.11	203	55247	580	21034	96.9	77.2	77.2	77.2	2.4	0.7	290	55.36
Absidia_inflata_NRRL_6591	6495	47556726	210	95519	2807	7322.05	884	17377	2842	4122	96.9	65.5	65.5	65.5	2.1	1.0	290	68.92
Absidia_macrospora_NRRL_5839	2633	40830476	500	171764	5703	15507.21	312	39814	1060	10407	95.9	63.1	63.1	63.1	3.1	1.0	290	29.02
Absidia_pseudocylindrospora_NRRL_2984	1333	40866300	1000	357968	17059	30657.39	197	60896	674	16612	95.9	61.4	61.4	61.4	2.4	1.7	290	27.57
Absidia_sp._NRRL_A-16789	1583	32135838	934	228190	10432	20300.59	243	43968	723	13810	98.3	78.6	78.6	78.6	0.7	1.0	290	54.88
Absidia_spinosa_NRRL_A-13651	2962	42571458	500	234968	4582	14372.54	343	37259	1164	9806	96.5	61.0	61.0	61.0	2.1	1.4	290	35.16
Absidia_spinosa_var._azygospora_NRRL_2841	2544	39184623	496	270777	1880	15402.76	174	63840	686	11298	98.3	61.7	61.7	61.7	0.3	1.4	290	46.02
Absidia_spinosavar_var._biappendiculata_NRRL_3033	1491	40845988	997	214433	14040	27395.03	205	60971	711	15400	96.2	63.1	63.1	63.1	2.8	1.0	290	24.11
Absidia_zychae_NRRL_A-23515	343	20054610	493	529279	14688	58468.25	37	160237	126	49317	95.9	91.4	91.4	91.4	3.1	1.0	290	58.56
Actinomucor_elegans_NRRL_1706	2315	34012553	500	231274	4018	14692.25	263	39230	871	10430	98.2	80.3	80.3	80.3	0.7	1.1	290	29.32
Actinomucor_sp._NRRL_A-23671	1661	32558114	1000	170494	9986	19601.51	240	43257	756	12655	98.3	78.6	78.6	78.6	1.0	0.7	290	59.13
Apophysomyces_ossiformis_NRRL_A-21654	1141	34079890	500	588879	2985	29868.44	80	125890	296	27577	96.9	83.1	83.1	83.1	2.1	1.0	290	47.22
Apophysomyces_sp._BC1021	2963	35139595	481	243836	1974	11859.47	271	38138	1003	6742	97.6	82.8	82.8	82.8	1.4	1.0	290	61.09
Apophysomyces_sp._BC1034	3089	37767649	500	213726	1996	12226.50	270	40376	1028	6869	97.9	83.4	83.4	83.4	1.4	0.7	290	56.84
Apophysomyces_sp._BC105	3418	37625439	500	224769	2131	11008.03	291	37420	1218	4934	97.6	82.8	82.8	82.8	1.4	1.0	290	48.39
Backusella_circina_NRRL_2446	1725	46173483	280	304786	4740	26767.24	169	85584	577	21054	97.9	70.3	70.3	70.3	1.0	1.1	290	24.75
Backusella_circina_NRRL_A-17781	2333	47117597	492	339977	1607	20196.14	172	82178	603	19709	98.3	70.7	70.7	70.7	1.0	0.7	290	30.07
Backusella_lamprospora_NRRL_1401	2643	47385077	493	355811	2636	17928.52	247	56728	846	14318	97.9	71.7	71.7	71.7	1.0	1.1	290	30.38
Backusella_lamprospora_NRRL_6044+	1353	46249429	1004	378967	14725	34182.87	178	80498	585	21200	98.3	73.8	73.8	73.8	0.7	1.0	290	20.24
Benjaminiella_youngii_IMI_325629	5625	33985948	490	160601	1392	6041.95	357	28350	2180	1839	97.9	84.5	84.5	84.5	1.4	0.7	290	45.32
Blakeslea_trispora_NRRL_2456	3322	31794077	500	200783	1515	9570.76	203	47830	957	4325	97.3	82.8	82.8	82.8	2.1	0.6	290	43.32
Chaetocladium_brefeldii_NRRL_1350	6867	32013013	498	62510	1512	4661.86	776	12734	3284	1641	94.8	83.1	83.1	83.1	3.1	2.1	290	29.73
Chaetocladium_brefeldii_RSA_1136-	947	29533875	1002	272927	16970	31186.77	143	64597	461	18231	97.2	86.2	86.2	86.2	1.4	1.4	290	33.06
Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509	3819	34119364	921	73991	3348	8934.11	515	22135	1939	3273	98.0	82.8	82.8	82.8	1.0	1.0	290	43.12
Choanephora_circinans_NRRL_2546	1930	31054778	993	279154	3325	16090.56	170	54207	669	7053	96.9	84.5	84.5	84.5	2.1	1.0	290	29.39
Circinella_angarensis_NRRL_1594	4396	46885989	482	279699	1539	10665.60	249	53003	1154	5154	98.0	85.2	85.2	85.2	1.0	1.0	290	24.32
Circinella_angarensis_NRRL_2410	1500	42475541	500	524282	2599	28317.03	106	121343	385	26482	98.3	84.5	84.5	84.5	1.4	0.3	290	49.32
Circinella_angarensis_RSA_198+	1031	41839348	1003	553159	14697	40581.33	122	102057	416	26734	98.6	84.8	84.8	84.8	1.0	0.4	290	33.02
Circinella_angarensis_RSA_618-	1241	41810183	1001	452947	10035	33690.72	134	94425	479	21131	96.5	84.8	84.8	84.8	2.8	0.7	290	25.99
Circinella_chinensis_CBS_150.53	2000	34670579	375	254627	2829	17335.29	197	53186	661	13451	96.6	82.8	82.8	82.8	2.8	0.6	290	59.80
Circinella_chinensis_NRRL_2415	1016	42825393	500	1363722	1818	42150.98	51	258781	188	53440	98.3	85.2	85.2	85.2	1.0	0.7	290	19.91
Circinella_minor_CBS_143.56	11717	85084731	500	119179	3042	7261.65	1434	17045	5465	3579	90.4	41.4	41.4	41.4	8.3	1.3	290	27.45
Circinella_minor_NRRL_1365	3967	44765467	500	185274	2932	11284.46	371	34755	1474	5731	96.2	84.5	84.5	84.5	3.1	0.7	290	23.96
Circinella_mucoroides_NRRL_1354	706	42725932	500	1124373	3924	60518.32	50	268502	175	59195	98.3	85.5	85.5	85.5	1.0	0.7	290	67.23
Circinella_muscae_CBS_107.13T	1794	41619114	1000	264651	11102	23199.06	241	51050	841	12616	97.9	87.9	87.9	87.9	1.7	0.4	290	15.91
Circinella_muscae_NRRL_1352	1604	42149080	481	452775	2964	26277.48	131	99143	456	22920	97.6	84.5	84.5	84.5	2.1	0.3	290	28.28
Circinella_muscae_NRRL_1355	11618	82612988	500	98142	3579	7110.78	1663	15113	5776	3628	86.2	47.6	47.6	47.6	12.8	1.0	290	12.16
Circinella_muscae_NRRL_1356	1338	42250089	501	426144	2718	31577.05	101	129004	351	30120	98.2	84.8	84.8	84.8	1.4	0.4	290	41.70
Circinella_muscae_NRRL_1357	5869	46130463	349	167816	2113	7860.02	524	24946	2324	3434	94.1	81.0	81.0	81.0	4.1	1.8	290	28.32
Circinella_muscae_NRRL_1360	5625	33980773	490	160605	1392	6041.03	357	28304	2180	1837	98.2	84.8	84.8	84.8	1.0	0.8	290	0.78
Circinella_muscae_NRRL_1362	6939	83650970	500	143433	4698	12055.19	877	29658	2928	7473	92.5	36.6	36.6	36.6	6.2	1.3	290	15.50
Circinella_muscae_NRRL_1363	7837	83245122	489	147852	4446	10622.06	1013	25607	3424	6247	90.7	40.0	40.0	40.0	8.3	1.0	290	14.06
Circinella_muscae_NRRL_1364	1436	42576904	456	522640	2510	29649.65	109	123519	375	28465	98.6	84.5	84.5	84.5	1.0	0.4	290	27.83
Circinella_muscae_NRRL_1367	1732	42168344	500	457311	3664	24346.62	146	87780	532	18870	97.5	84.1	84.1	84.1	2.1	0.4	290	31.60
Circinella_muscae_NRRL_2403	9733	83119366	500	97226	4112	8539.95	1328	18915	4634	4580	91.0	46.2	46.2	46.2	7.9	1.1	290	13.22
Circinella_rigida_NRRL_2341	2898	33507585	470	310890	1492	11562.31	192	50321	758	7529	97.6	81.7	81.7	81.7	1.7	0.7	290	81.20
Circinella_simplex_CBS_142.35	4321	46135627	500	212724	1436	10677.07	365	36336	1360	7662	97.9	80.3	80.3	80.3	1.0	1.1	290	29.96
Circinella_simplex_van_Tieghem_NRRL_2407	1547	37119569	1000	315011	1708	23994.55	127	89801	419	24951	97.9	80.7	80.7	80.7	1.0	1.1	290	57.00
Circinella_tenella_NRRL_A-23557	582	31895459	1001	776127	16986	54803.19	62	167455	218	37428	96.2	77.2	77.2	77.2	2.8	1.0	290	67.92
Circinella_umbellata_NRRL_1366	5593	45830108	481	138040	2392	8194.19	557	23866	2276	3796	95.5	82.4	82.4	82.4	3.8	0.7	290	21.15
Circinella_umbellata_RSA_505+	4850	43829280	1000	129934	3731	9036.96	559	21104	2571	3399	92.8	82.1	82.1	82.1	6.6	0.6	290	13.68
Circinomucor_circinelloides_NRRL_22899	1776	31899835	810	147488	10000	17961.62	274	37730	831	12176	98.3	79.3	79.3	79.3	1.0	0.7	290	19.43
Coemansia_asiatica_BCRC_34628	4927	14675238	982	96627	1781	2978.53	888	4098	3614	1280	75.8	74.8	74.8	74.8	13.1	11.1	290	66.89
Coemansia_formosensis_NRRL_5531T	5968	18991461	1000	133031	2168	3182.22	1285	4150	4390	1454	68.9	67.2	67.2	67.2	22.8	8.3	290	46.12
Coemansia_sp._IMI_203386	2281	16353261	995	337644	2048	7169.34	132	23986	1106	2140	85.2	84.5	84.5	84.5	6.9	7.9	290	57.75
Coemansia_sp._RSA_1646	503	18517204	500	529050	3472	36813.53	36	157083	129	31603	96.2	94.5	94.5	94.5	2.4	1.4	290	153.07
Coemansia_sp._RSA_1804	5729	28953775	500	266500	878	5053.90	496	16045	2085	2352	96.2	54.5	54.5	54.5	2.1	1.7	290	82.96
Coemansia_sp._RSA_1933	6361	19072911	494	112256	1222	2998.41	837	6518	3448	1011	89.7	89.0	89.0	89.0	7.9	2.4	290	135.82
Coemansia_sp._RSA_2320	3481	16475193	500	185025	1397	4732.89	262	14812	1694	1445	92.8	90.7	90.7	90.7	5.9	1.3	290	149.62
Coemansia_sp._RSA_2336	4930	13944452	500	327631	1469	2828.49	703	4604	3167	1063	86.2	84.1	84.1	84.1	11.0	2.8	290	191.99
Coemansia_sp._RSA_451	5289	16145947	500	167821	1511	3052.74	766	5631	3235	1094	88.3	86.6	86.6	86.6	10.3	1.4	290	163.97
Coemansia_sp._RSA_487	534	18528264	500	515472	2621	34697.12	38	146810	130	34916	96.2	94.5	94.5	94.5	2.4	1.4	290	198.22
Coemansia_sp._RSA_518	4792	16268347	500	231404	1495	3394.90	604	6636	2747	1187	87.3	84.5	84.5	84.5	10.7	2.0	290	231.15
Coemansia_sp._RSA_532	5302	16333512	500	229142	1339	3080.63	649	6033	3139	1047	84.1	81.0	81.0	81.0	14.1	1.8	290	179.50
Coemansia_umbellata_BCRC_34882	478	18716323	502	838008	3855	39155.49	35	157815	134	36615	95.9	94.5	94.5	94.5	2.8	1.3	290	387.78
Conidiobolus_antarcticus_ARSEF_6913	2778	84309531	500	338257	14985	30349.00	378	68532	1289	17459	94.8	94.1	94.1	94.1	0.7	4.5	290	28.34
Conidiobolus_firmipilleus_ARSEF_2731	20485	35834536	497	210346	1080	1749.31	3654	2273	14762	763	59.3	57.6	57.6	57.6	34.5	6.2	290	60.71
Conidiobolus_heterosporus_ARSEF_6386	6612	43960289	500	246000	2338	6648.56	770	16756	2780	3719	86.9	51.4	51.4	51.4	6.6	6.5	290	75.23
Conidiobolus_lamprauges_ARSEF_2338	10682	40661900	500	49846	1380	3806.58	1369	9120	5169	1532	90.7	59.7	59.7	59.7	6.2	3.1	290	78.96
Conidiobolus_lamprauges_NRRL_1229	7570	54280948	500	115386	2682	7170.53	907	17479	3350	3655	88.6	36.9	36.9	36.9	7.6	3.8	290	46.31
Conidiobolus_megalotocus_ARSEF_8428	19345	39724521	494	53457	1173	2053.48	3134	3083	13289	835	83.4	81.7	81.7	81.7	13.4	3.2	290	68.00
Conidiobolus_megalotocus_NRRL_3011	7449	72552937	395	236131	2564	9739.96	702	28875	2796	5534	83.4	33.4	33.4	33.4	13.8	2.8	290	22.95
Conidiobolus_osmodes_ARSEF_79	27214	98845627	987	135194	2552	3632.16	5907	4789	19659	1678	41.4	40.0	40.0	40.0	36.6	22.0	290	90.29
Conidiobolus_polytocus_NRRL_1231	934	28972160	324	507709	2822	31019.44	72	126006	238	29487	92.1	89.3	89.3	89.3	5.2	2.7	290	40.52
Conidiobolus_pumilus_ARSEF_6383	61035	238195862	984	69681	2394	3902.61	11156	5912	42074	1609	45.2	43.8	43.8	43.8	25.5	29.3	290	-
Conidiobolus_pumilus_ARSEF_6383.masurca	41819	318123097	201	103089	4917	7607.14	7040	13301	23538	4027	77.3	61.4	61.4	61.4	10.0	12.7	290	-
Conidiobolus_rhysosporus_ARSEF_448	9119	100432955	500	180391	4651	11013.59	1080	26159	4092	6048	91.1	46.6	46.6	46.6	5.2	3.7	290	27.93
Conidiobolus_rhysosporus_NRRL_1225	10597	102004316	500	188672	5077	9625.77	1377	20331	5238	5200	92.4	43.1	43.1	43.1	3.8	3.8	290	15.45
Conidiobolus_sp._NRRL_29146	19453	66637341	914	154820	2199	3425.56	3732	4725	13958	1486	56.2	47.2	47.2	47.2	30.3	13.5	290	22.95
Conidiobolus_thromboides_ARSEF_4968	1115	24493771	500	434174	6178	21967.51	115	62442	414	14738	94.8	93.8	93.8	93.8	1.4	3.8	290	119.42
Conidiobolus_thromboides_NRRL_1224	4516	40070971	500	322256	3066	8873.11	439	23569	1867	4736	90.3	56.2	56.2	56.2	5.9	3.8	290	33.86
Cunninghamella_antarctica_NRRL_6534	1234	29555219	508	212967	13022	23950.74	187	49032	605	13588	94.8	82.4	82.4	82.4	4.5	0.7	290	94.49
Cunninghamella_bertholletiae_NRRL_1376	2707	30836414	1000	125909	7429	11391.36	479	18913	1651	5323	91.0	79.3	79.3	79.3	7.9	1.1	290	65.18
Cunninghamella_bertholletiae_NRRL_1377	1192	30166686	1008	187029	15449	25307.62	202	44997	660	12609	94.5	83.8	83.8	83.8	4.5	1.0	290	76.91
Cunninghamella_bertholletiae_NRRL_1380	1851	31211963	1010	195573	3839	16862.22	198	48562	695	10764	93.7	80.3	80.3	80.3	4.5	1.8	290	78.08
Cunninghamella_brunnea_NRRL_6143	5855	29852420	500	60613	3211	5098.62	1006	8792	3457	2410	86.2	75.9	75.9	75.9	12.1	1.7	290	85.86
Cunninghamella_echinulata_NRRL_1384	1311	29325748	1006	224384	14439	22368.99	231	40725	731	11519	95.9	84.5	84.5	84.5	2.4	1.7	290	53.29
Cunninghamella_echinulata_NRRL_1385	5574	29035582	1000	40764	3709	5209.11	1186	7450	3822	2423	87.2	76.2	76.2	76.2	11.4	1.4	290	73.14
Cunninghamella_echinulata_NRRL_1386	1072	29572316	1000	202855	16955	27586.12	174	53495	562	15557	96.5	84.8	84.8	84.8	2.4	1.1	290	60.89
Cunninghamella_echinulata_NRRL_1387	1925	30093739	1000	153795	8952	15633.11	314	30845	1023	7864	94.1	83.4	83.4	83.4	4.1	1.8	290	59.88
Cunninghamella_echinulata_RSA_2017+	796	29320821	1002	259323	21863	36835.20	127	70050	423	19845	95.5	84.5	84.5	84.5	3.8	0.7	290	34.12
Cunninghamella_echinulata_RSA_2018-	925	29314526	1002	218050	20283	31691.38	160	60126	501	17663	95.2	82.8	82.8	82.8	3.4	1.4	290	31.11
Cunninghamella_elegans_NRRL_1388	1917	32390411	1001	159875	10626	16896.41	322	28987	1115	8144	92.4	82.1	82.1	82.1	6.2	1.4	290	55.34
Cunninghamella_elegans_NRRL_1390	1936	32492774	1003	175926	10950	16783.46	348	29271	1142	8462	93.5	83.8	83.8	83.8	5.5	1.0	290	76.18
Cunninghamella_elegans_NRRL_1391	1788	32709428	1002	143196	11475	18293.86	315	31653	1056	8702	95.5	85.5	85.5	85.5	3.4	1.1	290	56.55
Cunninghamella_elegans_NRRL_1392	1913	32532992	1007	143719	10592	17006.27	340	29006	1133	8272	95.5	84.5	84.5	84.5	3.8	0.7	290	74.99
Cunninghamella_elegans_NRRL_1393	2010	32407112	1002	121656	10732	16122.94	364	26777	1207	7931	92.8	82.8	82.8	82.8	6.6	0.6	290	81.36
Cunninghamella_sp._NRRL_A-21238	1341	29953193	1000	257753	5744	22336.46	146	62899	495	15873	96.9	83.8	83.8	83.8	2.1	1.0	290	63.95
Cunninghamella_sp._NRRL_A-21271	1835	29839741	1001	147733	7266	16261.44	255	37803	821	9800	95.6	82.8	82.8	82.8	3.1	1.3	290	67.76
Dichotomocladium_elegans_NRRL_2754	1743	34029604	500	359133	2165	19523.58	146	68103	506	16851	96.6	77.6	77.6	77.6	2.4	1.0	290	40.61
Dichotomocladium_hesseltinei_NRRL_2912T	1605	34733949	1003	235671	8174	21641.09	202	51846	690	12663	96.9	77.2	77.2	77.2	2.4	0.7	290	31.10
Dichotomocladium_robustum_RSA_1342	1113	34449418	565	389801	8343	30951.86	122	85339	422	21683	95.5	78.3	78.3	78.3	3.1	1.4	290	27.01
Dichotomocladium_sphaerosporum_NRRL_22118	9668	57328119	943	50727	4243	5929.68	2007	8890	6389	2782	91.7	55.5	55.5	55.5	6.2	2.1	290	10.09
Dissophora_ornata_NRRL_22417	4002	38407782	500	123321	3612	9597.15	467	23711	1785	4772	94.5	82.4	82.4	82.4	5.2	0.3	290	22.36
Echinosporangium_transversalis_NRRL_5525	6418	35648639	500	128939	2737	5554.48	864	11602	3467	2373	80.0	71.7	71.7	71.7	13.1	6.9	290	24.46
Ellisomyces_anomalus_NRRL_2465+T	1394	31484086	1003	241465	4732	22585.43	151	65333	510	16825	97.3	79.7	79.7	79.7	1.4	1.3	290	24.13
Ellisomyces_anomalus_RSA_581-	1321	31548110	1002	314164	4105	23881.99	135	71309	462	18170	97.6	80.0	80.0	80.0	1.4	1.0	290	34.83
Fennellomyces_heterothallicus_RSA_2348	1855	37043406	500	342273	2165	19969.49	122	97530	433	16479	97.6	83.1	83.1	83.1	1.0	1.4	290	207.80
Fennellomyces_linderi_NRRL_2342T	1316	38282646	1000	386169	5585	29090.16	129	87574	461	21063	97.5	83.4	83.4	83.4	1.7	0.8	290	19.94
Fennellomyces_mexicanussp.nov._RSA_1415+	3450	40209357	958	306211	1890	11654.89	192	61603	1067	3942	98.2	84.1	84.1	84.1	1.0	0.8	290	21.17
Fennellomyces_mexicanussp.nov._RSA_1418-	2440	39145631	904	406244	3165	16043.29	173	63734	822	6408	98.6	84.8	84.8	84.8	1.0	0.4	290	23.00
Fennellomyces_verticellatus_RSA_2442+	1575	37070146	1000	449395	3482	23536.60	126	85613	462	15853	97.2	83.4	83.4	83.4	1.7	1.1	290	18.65
Fennellomyces_verticellatus_RSA_2446	2342	36507853	500	306339	1868	15588.32	158	68118	575	12241	97.5	83.4	83.4	83.4	1.0	1.5	290	35.10
Gilbertella_persicaria_Eddy_Hesseltine_NRRL_A-13613	1663	23692728	1000	105367	8250	14246.98	262	28978	850	7693	97.6	83.1	83.1	83.1	2.1	0.3	290	79.43
Gilbertella_persicariavar.indica_CBS_442.64-	1692	23663501	1000	169191	5031	13985.52	222	33306	747	7681	95.5	82.4	82.4	82.4	3.8	0.7	290	41.67
Gilbertella_persicariavar.persicaria_CBS_190.32-T	1099	23539812	1000	201872	10916	21419.30	157	47434	514	13461	96.6	82.8	82.8	82.8	3.1	0.3	290	38.86
Gilbertella_persicariavar.persicaria_CBS_246.59+	3325	22121580	1000	86745	3888	6653.11	533	11244	2014	2835	85.5	77.9	77.9	77.9	11.4	3.1	290	10.80
Gongronella_butleri_NRRL_1340	1706	33103654	1002	132054	14051	19404.25	318	33840	916	11940	95.2	84.5	84.5	84.5	2.8	2.0	290	77.07
Gongronella_butleri_NRRL_A-23795	1357	32682737	1001	182410	16265	24084.55	233	43324	722	14729	95.8	84.8	84.8	84.8	2.4	1.8	290	79.08
Gongronella_butleri_NRRL_A-9978	1760	33279248	492	193721	7747	18908.66	240	44024	715	15985	96.2	84.8	84.8	84.8	2.1	1.7	290	47.59
Haplosporangium_bisporale_NRRL_A-12553	11106	38988710	500	105785	1297	3510.60	1162	8506	6003	1138	81.4	73.8	73.8	73.8	15.2	3.4	290	20.31
Haplosporangium_lignicola_NRRL_2525	4029	35304070	501	100968	4138	8762.49	530	19168	2025	4126	92.8	82.8	82.8	82.8	5.9	1.3	290	24.48
Haplosporangium_sp._NRRL_3175	3995	36129123	500	91252	4133	9043.59	515	20648	1928	4407	94.8	86.2	86.2	86.2	3.8	1.4	290	25.27
Haplosporangium_sp._NRRL_A-10739	1697	33515068	500	216595	5245	19749.60	182	56943	626	13500	96.2	82.4	82.4	82.4	2.8	1.0	290	26.41
Haplosporangium_sp._NRRL_A-10996	1626	33513860	500	304264	5338	20611.23	170	59832	594	14129	95.5	81.0	81.0	81.0	3.4	1.1	290	25.65
Helicostylum_lucknowense_NRRL_2892	1826	42035431	1000	338462	5562	23020.50	186	70563	681	12552	97.9	84.8	84.8	84.8	1.7	0.4	290	46.10
Helicostylum_lucknowense_NRRL_A-16732	1872	41839329	1001	294066	5409	22350.07	189	70559	691	12551	97.9	84.8	84.8	84.8	1.7	0.4	290	57.28
Helicostylum_pulchrum_RSA_2065	947	31876874	1000	423544	18675	33660.90	134	71620	465	19280	98.0	81.4	81.4	81.4	1.4	0.6	290	28.54
Helicostylum_sp._NRRL_1397	2745	35036762	1000	139801	5877	12763.85	389	27277	1391	5740	97.9	83.4	83.4	83.4	1.7	0.4	290	65.60
Lichtheimia_corymbifera_NRRL_1592	1588	34738090	451	199499	3541	21875.37	188	62263	538	21324	97.9	77.9	77.9	77.9	1.7	0.4	290	47.16
Lichtheimia_corymbifera_NRRL_2981	1707	34983057	500	238634	2658	20493.88	186	62724	539	20753	97.3	75.9	75.9	75.9	2.1	0.6	290	32.81
Lichtheimia_corymbifera_NRRL_6379	1719	34401061	500	196452	3077	20012.25	195	58848	573	19231	97.5	77.2	77.2	77.2	1.7	0.8	290	33.36
Lichtheimia_corymbifera_NRRL_A-11155	1685	34785965	500	203412	2681	20644.49	186	63018	541	21391	96.9	76.9	76.9	76.9	2.4	0.7	290	27.92
Lichtheimia_hyalospora_NRRL_1305	1738	32350022	502	398879	1474	18613.36	87	123932	286	26221	96.6	76.6	76.6	76.6	2.8	0.6	290	37.18
Lichtheimia_ramosa_NRRL_1335	21023	44626286	500	81586	935	2122.74	2957	4220	13486	722	73.1	57.9	57.9	57.9	23.8	3.1	290	39.64
Lichtheimia_ramosa_NRRL_3208	19790	43001149	492	321847	912	2172.87	2536	4335	12557	724	72.1	59.0	59.0	59.0	22.4	5.5	290	26.87
Lichtheimia_sphaerocystis_NRRL_6380	1723	34473892	500	196403	2814	20008.06	198	57383	571	20244	97.9	77.9	77.9	77.9	1.7	0.4	290	39.03
Linderina_macrospora_NRRL_5244	7010	15821707	552	106021	1738	2257.02	1893	2469	5573	1221	59.3	57.2	57.2	57.2	24.8	15.9	290	50.69
Linderina_pennispora_NRRL_3781	8877	18805443	473	73846	1275	2118.45	1672	3133	6306	891	73.8	72.4	72.4	72.4	24.8	1.4	290	110.73
Lobosporangium_transversale_NRRL_3116	6585	35390792	500	70116	2722	5374.46	895	10948	3614	2312	81.7	75.5	75.5	75.5	12.1	6.2	290	22.66
Modicella_reniformis_MES-2146	12478	43601601	500	267961	2062	3494.28	2102	5999	7724	1498	81.4	75.2	75.2	75.2	14.5	4.1	290	25.84
Mortierella_alpina_AD071	1601	35060002	499	336245	5760	21898.81	164	64418	581	15219	96.8	83.4	83.4	83.4	2.1	1.1	290	19.87
Mortierella_alpina_AD072	2684	37282625	500	174171	6707	13890.69	352	30823	1250	7829	95.2	82.8	82.8	82.8	3.4	1.4	290	16.64
